Label (Grouping),2020
"Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,954"
"Census Tract 1.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","21,775"
"Census Tract 1.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","27,500"
"Census Tract 2, Fayette County, Kentucky!!Median income (dollars)!!Estimate","35,435"
"Census Tract 3, Fayette County, Kentucky!!Median income (dollars)!!Estimate","35,928"
"Census Tract 4, Fayette County, Kentucky!!Median income (dollars)!!Estimate","28,084"
"Census Tract 5, Fayette County, Kentucky!!Median income (dollars)!!Estimate","64,426"
"Census Tract 6, Fayette County, Kentucky!!Median income (dollars)!!Estimate","73,837"
"Census Tract 7, Fayette County, Kentucky!!Median income (dollars)!!Estimate","54,306"
"Census Tract 8.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","27,344"
"Census Tract 8.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","23,164"
"Census Tract 9, Fayette County, Kentucky!!Median income (dollars)!!Estimate","17,797"
"Census Tract 10, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,391"
"Census Tract 11, Fayette County, Kentucky!!Median income (dollars)!!Estimate","33,847"
"Census Tract 13, Fayette County, Kentucky!!Median income (dollars)!!Estimate","37,632"
"Census Tract 14, Fayette County, Kentucky!!Median income (dollars)!!Estimate","35,417"
"Census Tract 15, Fayette County, Kentucky!!Median income (dollars)!!Estimate","40,417"
"Census Tract 16, Fayette County, Kentucky!!Median income (dollars)!!Estimate","41,929"
"Census Tract 17, Fayette County, Kentucky!!Median income (dollars)!!Estimate","55,875"
"Census Tract 18, Fayette County, Kentucky!!Median income (dollars)!!Estimate","19,299"
"Census Tract 19, Fayette County, Kentucky!!Median income (dollars)!!Estimate","28,715"
"Census Tract 20.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","35,167"
"Census Tract 20.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","54,726"
"Census Tract 22, Fayette County, Kentucky!!Median income (dollars)!!Estimate","51,574"
"Census Tract 23.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","63,505"
"Census Tract 23.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","58,419"
"Census Tract 23.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","183,233"
"Census Tract 24, Fayette County, Kentucky!!Median income (dollars)!!Estimate","56,443"
"Census Tract 25, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,743"
"Census Tract 26, Fayette County, Kentucky!!Median income (dollars)!!Estimate","55,456"
"Census Tract 27, Fayette County, Kentucky!!Median income (dollars)!!Estimate","48,848"
"Census Tract 28, Fayette County, Kentucky!!Median income (dollars)!!Estimate","72,981"
"Census Tract 29, Fayette County, Kentucky!!Median income (dollars)!!Estimate","69,095"
"Census Tract 30, Fayette County, Kentucky!!Median income (dollars)!!Estimate","48,068"
"Census Tract 31.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","39,881"
"Census Tract 31.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","64,625"
"Census Tract 32.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","63,178"
"Census Tract 32.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","46,185"
"Census Tract 33, Fayette County, Kentucky!!Median income (dollars)!!Estimate","32,169"
"Census Tract 34.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,992"
"Census Tract 34.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","37,723"
"Census Tract 34.05, Fayette County, Kentucky!!Median income (dollars)!!Estimate","48,456"
"Census Tract 34.06, Fayette County, Kentucky!!Median income (dollars)!!Estimate","55,218"
"Census Tract 34.07, Fayette County, Kentucky!!Median income (dollars)!!Estimate","62,879"
"Census Tract 35.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate","50,282"
"Census Tract 35.03, Fayette County, Kentucky!!Median income (dollars)!!Estimate","41,680"
"Census Tract 35.04, Fayette County, Kentucky!!Median income (dollars)!!Estimate","39,045"
"Census Tract 36, Fayette County, Kentucky!!Median income (dollars)!!Estimate","91,222"
