Label (Grouping),HOUSEHOLD INCOME BY RACE AND HISPANIC OR LATINO ORIGIN OF HOUSEHOLDER,    2019
"Fayette County, Kentucky!!Number!!Estimate",,"129,784"
"Fayette County, Kentucky!!Number!!Margin of Error",,±997
"Fayette County, Kentucky!!Percent Distribution!!Estimate",,"129,784"
"Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±997
"Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"57,291"
"Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±1,252"
"Census Tract 1.01, Fayette County, Kentucky!!Number!!Estimate",,"1,993"
"Census Tract 1.01, Fayette County, Kentucky!!Number!!Margin of Error",,±120
"Census Tract 1.01, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,993"
"Census Tract 1.01, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±120
"Census Tract 1.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"25,363"
"Census Tract 1.01, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±7,664"
"Census Tract 1.02, Fayette County, Kentucky!!Number!!Estimate",,984
"Census Tract 1.02, Fayette County, Kentucky!!Number!!Margin of Error",,±108
"Census Tract 1.02, Fayette County, Kentucky!!Percent Distribution!!Estimate",,984
"Census Tract 1.02, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±108
"Census Tract 1.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"26,477"
"Census Tract 1.02, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±4,397"
"Census Tract 2, Fayette County, Kentucky!!Number!!Estimate",,"1,225"
"Census Tract 2, Fayette County, Kentucky!!Number!!Margin of Error",,±128
"Census Tract 2, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,225"
"Census Tract 2, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±128
"Census Tract 2, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"26,725"
"Census Tract 2, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±6,408"
"Census Tract 3, Fayette County, Kentucky!!Number!!Estimate",,"1,249"
"Census Tract 3, Fayette County, Kentucky!!Number!!Margin of Error",,±99
"Census Tract 3, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,249"
"Census Tract 3, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±99
"Census Tract 3, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"32,089"
"Census Tract 3, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±4,708"
"Census Tract 4, Fayette County, Kentucky!!Number!!Estimate",,784
"Census Tract 4, Fayette County, Kentucky!!Number!!Margin of Error",,±48
"Census Tract 4, Fayette County, Kentucky!!Percent Distribution!!Estimate",,784
"Census Tract 4, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±48
"Census Tract 4, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"27,031"
"Census Tract 4, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±2,779"
"Census Tract 5, Fayette County, Kentucky!!Number!!Estimate",,"1,654"
"Census Tract 5, Fayette County, Kentucky!!Number!!Margin of Error",,±96
"Census Tract 5, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,654"
"Census Tract 5, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±96
"Census Tract 5, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"68,088"
"Census Tract 5, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±11,472"
"Census Tract 6, Fayette County, Kentucky!!Number!!Estimate",,"2,208"
"Census Tract 6, Fayette County, Kentucky!!Number!!Margin of Error",,±125
"Census Tract 6, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"2,208"
"Census Tract 6, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±125
"Census Tract 6, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"101,268"
"Census Tract 6, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±16,414"
"Census Tract 7, Fayette County, Kentucky!!Number!!Estimate",,"1,081"
"Census Tract 7, Fayette County, Kentucky!!Number!!Margin of Error",,±73
"Census Tract 7, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,081"
"Census Tract 7, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±73
"Census Tract 7, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"29,840"
"Census Tract 7, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±7,799"
"Census Tract 8.01, Fayette County, Kentucky!!Number!!Estimate",,15
"Census Tract 8.01, Fayette County, Kentucky!!Number!!Margin of Error",,±12
"Census Tract 8.01, Fayette County, Kentucky!!Percent Distribution!!Estimate",,15
"Census Tract 8.01, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±12
"Census Tract 8.01, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"27,344"
"Census Tract 8.01, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±10,148"
"Census Tract 8.02, Fayette County, Kentucky!!Number!!Estimate",,773
"Census Tract 8.02, Fayette County, Kentucky!!Number!!Margin of Error",,±73
"Census Tract 8.02, Fayette County, Kentucky!!Percent Distribution!!Estimate",,773
"Census Tract 8.02, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±73
"Census Tract 8.02, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"22,765"
"Census Tract 8.02, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±6,626"
"Census Tract 9, Fayette County, Kentucky!!Number!!Estimate",,"2,293"
"Census Tract 9, Fayette County, Kentucky!!Number!!Margin of Error",,±220
"Census Tract 9, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"2,293"
"Census Tract 9, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±220
"Census Tract 9, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"17,721"
"Census Tract 9, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±3,718"
"Census Tract 10, Fayette County, Kentucky!!Number!!Estimate",,777
"Census Tract 10, Fayette County, Kentucky!!Number!!Margin of Error",,±61
"Census Tract 10, Fayette County, Kentucky!!Percent Distribution!!Estimate",,777
"Census Tract 10, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±61
"Census Tract 10, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"39,125"
"Census Tract 10, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±5,173"
"Census Tract 11, Fayette County, Kentucky!!Number!!Estimate",,"1,920"
"Census Tract 11, Fayette County, Kentucky!!Number!!Margin of Error",,±174
"Census Tract 11, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,920"
"Census Tract 11, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±174
"Census Tract 11, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"30,968"
"Census Tract 11, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±3,490"
"Census Tract 13, Fayette County, Kentucky!!Number!!Estimate",,763
"Census Tract 13, Fayette County, Kentucky!!Number!!Margin of Error",,±66
"Census Tract 13, Fayette County, Kentucky!!Percent Distribution!!Estimate",,763
"Census Tract 13, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±66
"Census Tract 13, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"36,125"
"Census Tract 13, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±7,482"
"Census Tract 14, Fayette County, Kentucky!!Number!!Estimate",,933
"Census Tract 14, Fayette County, Kentucky!!Number!!Margin of Error",,±97
"Census Tract 14, Fayette County, Kentucky!!Percent Distribution!!Estimate",,933
"Census Tract 14, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±97
"Census Tract 14, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"27,604"
"Census Tract 14, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±6,933"
"Census Tract 15, Fayette County, Kentucky!!Number!!Estimate",,866
"Census Tract 15, Fayette County, Kentucky!!Number!!Margin of Error",,±45
"Census Tract 15, Fayette County, Kentucky!!Percent Distribution!!Estimate",,866
"Census Tract 15, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±45
"Census Tract 15, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"40,708"
"Census Tract 15, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±3,638"
"Census Tract 16, Fayette County, Kentucky!!Number!!Estimate",,"1,112"
"Census Tract 16, Fayette County, Kentucky!!Number!!Margin of Error",,±98
"Census Tract 16, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,112"
"Census Tract 16, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±98
"Census Tract 16, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"35,893"
"Census Tract 16, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±9,120"
"Census Tract 17, Fayette County, Kentucky!!Number!!Estimate",,"1,097"
"Census Tract 17, Fayette County, Kentucky!!Number!!Margin of Error",,±56
"Census Tract 17, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,097"
"Census Tract 17, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±56
"Census Tract 17, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"67,938"
"Census Tract 17, Fayette County, Kentucky!!Median income (dollars)!!Margin of Error",,"±29,925"
"Census Tract 18, Fayette County, Kentucky!!Number!!Estimate",,"1,279"
"Census Tract 18, Fayette County, Kentucky!!Number!!Margin of Error",,±107
"Census Tract 18, Fayette County, Kentucky!!Percent Distribution!!Estimate",,"1,279"
"Census Tract 18, Fayette County, Kentucky!!Percent Distribution!!Margin of Error",,±107
"Census Tract 18, Fayette County, Kentucky!!Median income (dollars)!!Estimate",,"20,387"
